"Set the frequency of prompt display for the same customer","Set the frequency of prompt display for the same customer"
"Choose how frequently to show the prompt to those who haven't consented yet","Choose how frequently to show the prompt to those who haven't consented yet"
"Show the prompt on all pages","Show the prompt on all pages"
"Pages to show the prompt on","Pages to show the prompt on"
"List of pages, where the prompt will show. Each page on a separate line.","List of pages, where the prompt will show. Each page on a separate line."
"No Spam","No Spam"
"Max. number of notifications per customer daily","Max. number of notifications per customer daily"
"0 for no limit","0 for no limit"
Back,Back
General,General
"Schedule to","Schedule to"
"Please mind, that Customer Segments Source is available when Amasty 'Customer Segmentation' extension is installed. Only registered users from a segmentation will receive push notifications.","Please mind, that Customer Segments Source is available when Amasty 'Customer Segmentation' extension is installed. Only registered users from a segmentation will receive push notifications."
"Segmentation Source","Segmentation Source"
"Customer Groups","Customer Groups"
"Leave empty to apply campaign to all customer groups.","Leave empty to apply campaign to all customer groups."
"Customer Segments","Customer Segments"
"Leave empty to apply campaign to all customer segments.","Leave empty to apply campaign to all customer segments."
"Store View","Store View"
"Notification Settings","Notification Settings"
"Message Title","Message Title"
"Message Body","Message Body"
"Logo Image","Logo Image"
"Pop-up notification URL","Pop-up notification URL"
"Paste the link you want to direct your pop-up recipients.","Paste the link you want to direct your pop-up recipients."
"UTM parameters for tracking","UTM parameters for tracking"
utm_medium=cpc&utm_source=google,utm_medium=cpc&utm_source=google
"Use Urchin Tracking Module parameters as an advanced GA tracking option to understand how your visitors interact with your store pages.","Use Urchin Tracking Module parameters as an advanced GA tracking option to understand how your visitors interact with your store pages."
Activate,Activate
"Activate campaigns","Activate campaigns"
"Are you sure that you want to activate selected items?","Are you sure that you want to activate selected items?"
Deactivate,Deactivate
"Deactivate campaigns","Deactivate campaigns"
"Are you sure that you want to deactivate selected items?","Are you sure that you want to deactivate selected items?"
"Delete items","Delete items"
"Are you sure that you want to delete selected items?","Are you sure that you want to delete selected items?"
ID,ID
"Is Active","Is Active"
Status,Status
"Number of Subscribers","Number of Subscribers"
"Number of received notifications","Number of received notifications"
Clicked,Clicked
"Test Notification","Test Notification"
Source,Source
Location,Location
"Customer Id","Customer Id"
"Subscriber Since","Subscriber Since"
IP,IP
Token,Token
